index,x,y,theta,v_r,v_l
78,-0.26511022448539734,0.7213694453239441,2.607720375061035,1.2885764670645514,3.5326159153308643
79,-0.332256555557251,0.7654296159744263,2.836810350418091,1.2547670925430525,3.4340702885400276
80,-0.4055328965187073,0.7924010157585144,3.056123971939087,1.3293121917927067,3.414014279147348
81,-0.48457059264183044,0.8026574850082397,-3.0186729431152344,1.447188077165422,3.325724201072076
82,-0.5650038123130798,0.7958140969276428,-2.82090425491333,1.6007793380135054,3.25602353246404
83,-0.644926905632019,0.771833598613739,-2.6547861099243164,1.611626888560639,3.1724967425296913
84,-0.7197673320770264,0.735054612159729,-2.4993624687194824,1.7232418239530023,3.0294774138751634
85,-0.7875100374221802,0.687133252620697,-2.363023042678833,1.7183601632126584,2.8301696742662465
86,-0.8455338478088379,0.6326709389686584,-2.2456741333007812,1.9330709403453155,3.0351469949528567
87,-0.8917506337165833,0.577755868434906,-2.1505494117736816,1.9069307575633867,2.750466945895151
88,-0.9321107864379883,0.5192886590957642,-2.0719144344329834,2.0019494056876397,3.040909505401616
89,-0.9688321352005005,0.4557622969150543,-1.9849787950515747,2.045502406320347,2.918972465797707
90,-1.0049489736557007,0.37689563632011414,-1.8935168981552124,1.8624019506182927,2.909871651020936
91,-1.0332623720169067,0.29740744829177856,-1.7897186279296875,2.041998074685723,2.926791646425461
92,-1.0531814098358154,0.21414825320243835,-1.695844054222107,2.0054100891788327,2.719711476456826
93,-1.0648103952407837,0.13156162202358246,-1.6194387674331665,2.2946209730416154,2.6604681209081735
94,-1.0695956945419312,0.04751911386847496,-1.574513554573059,2.221238540393324,2.388488306499486
95,-1.0703175067901611,-0.03329810872673988,-1.5529273748397827,2.6868488184946897,2.3610992415332306
96,-1.068534255027771,-0.11634363234043121,-1.5748052597045898,3.1862094916461765,1.7381538972841304
97,-1.0670782327651978,-0.18818196654319763,-1.6676360368728638,3.613148699126044,1.1841596096511688
98,-1.070853590965271,-0.26688092947006226,-1.8914666175842285,3.7839777197910838,0.973683290788512
99,-1.0900452136993408,-0.3408229947090149,-2.1738977432250977,3.7178943535570355,1.0166390441943574
100,-1.122444987297058,-0.3976452648639679,-2.417602300643921,3.5628103751461775,1.2449634659839461
101,-1.1695771217346191,-0.44584837555885315,-2.640316963195801,3.428290256575863,1.4591495779175878
102,-1.2279154062271118,-0.4824785590171814,-2.8311574459075928,3.215533876278913,1.6312449594758667
103,-1.2933604717254639,-0.5070518851280212,-2.9831879138946533,3.0533239942371755,1.795387465018387
104,-1.3621731996536255,-0.5207105875015259,-3.10221266746521,2.811062881561991,1.8295223350475305
105,-1.441711664199829,-0.5257762670516968,3.074514150619507,2.6048133247031053,1.9471064442549924
106,-1.519329309463501,-0.5218764543533325,2.999089002609253,2.830057905160967,2.0967032087927753
107,-1.6003668308258057,-0.5112313628196716,2.9242424964904785,3.3157687436565784,1.6144744822701076
108,-1.682775855064392,-0.4952467083930969,2.7766149044036865,3.678722356192849,1.3592343177223438
109,-1.7625887393951416,-0.468181848526001,2.546605348587036,3.647579988356995,1.1700227554202403
110,-1.8233070373535156,-0.43280258774757385,2.3266561031341553,3.486903210936757,1.2318839425793007
111,-1.8744007349014282,-0.38547804951667786,2.1159887313842773,3.478545180141695,1.3074059849517659
112,-1.9144785404205322,-0.32810306549072266,1.922005295753479,3.2332492100198817,1.5041795476359252
113,-1.9450044631958008,-0.25343263149261475,1.7317535877227783,3.072611519046535,1.6622421982523565
114,-1.9602177143096924,-0.17484091222286224,1.5791195631027222,2.940925256023872,2.0494549903900126
115,-1.9623407125473022,-0.09155736118555069,1.4763201475143433,2.6344223538003693,2.1417168438828944
116,-1.9568870067596436,-0.020600084215402603,1.4236291646957397,2.6159118909092376,2.3875898945847887
117,-1.9449020624160767,0.06278534978628159,1.3947954177856445,2.4445115965338213,2.444678246200667
118,-1.9324138164520264,0.13381575047969818,1.3906489610671997,2.3995108887956604,2.691672430191331
119,-1.9188907146453857,0.2058219611644745,1.4109355211257935,2.2362587011692256,2.6158229812748286
120,-1.906699538230896,0.2769424617290497,1.4429696798324585,2.142649792720918,2.4723564041882797
121,-1.8959324359893799,0.3559991419315338,1.4775694608688354,2.333434948820145,2.7379848173588797
122,-1.8876302242279053,0.4395093321800232,1.5176525115966797,2.2987878444281864,2.5408507029266274
123,-1.8827874660491943,0.5229759812355042,1.5456591844558716,2.3760976878957947,2.695290823801169
124,-1.880208969116211,0.6082748174667358,1.5770666599273682,2.2216834910111234,2.508322534424886
125,-1.8803027868270874,0.6907273530960083,1.6070131063461304,2.4618032933593192,2.4983938937238923
126,-1.8832337856292725,0.774099588394165,1.6156595945358276,2.283253292045115,2.331657460872527
127,-1.8862428665161133,0.843209445476532,1.6198155879974365,2.559651768393812,2.396525398292693
128,-1.8898862600326538,0.9139267206192017,1.6095123291015625,2.442531177256418,2.283253376700833
129,-1.8933537006378174,0.9958697557449341,1.592672348022461,2.323463261417189,2.287127352456665
130,-1.8949804306030273,1.0638598203659058,1.5874439477920532,2.440676941276593,2.400302246223201
131,-1.8963744640350342,1.1452760696411133,1.5834012031555176,2.362189357374494,2.3621893980743915
132,-1.8972866535186768,1.2149440050125122,1.582721471786499,2.4774180464348805,2.4774180464348805
133,-1.8981412649154663,1.2861965894699097,1.582767367362976,2.1317318073974545,2.1317318073974545
134,-1.8990930318832397,1.3625919818878174,1.5828490257263184,1.7284311951871254,1.7284311951871254
135,-1.8998644351959229,1.4259459972381592,1.5828123092651367,1.3251305829767963,1.3251305829767963
136,-1.9003454446792603,1.469005823135376,1.5827701091766357,2.893541129751353,1.6254241509349425
137,-1.9020464420318604,1.5197107791900635,1.5268282890319824,2.7410072048427305,1.345960043913821
138,-1.9020551443099976,1.5920650959014893,1.384838581085205,2.4557543385655416,1.1014375001126284
139,-1.8954206705093384,1.645647644996643,1.2627850770950317,2.052987998656598,0.7929520974276886
140,-1.8834047317504883,1.6960073709487915,1.1290932893753052,1.8569150558732135,0.5185864055831496
